n_nodes,edge_probability,repeat,n_edges,custom_time_sec,networkx_time_sec,custom_iterations,converged,l1_distance_vs_networkx,max_abs_difference_vs_networkx,spearman_rank_corr
20,0.25,1,90,0.0017415000183973461,0.0038597999955527484,27,True,3.048169182340299e-10,4.514277840428349e-11,1.0
20,0.25,2,84,0.00038139999378472567,0.003587199986213818,27,True,4.162457913070572e-10,7.044338723449783e-11,1.0
20,0.25,3,77,0.0006382999999914318,0.0020013999892398715,28,True,4.3592218550159156e-10,6.173343780613294e-11,1.0
50,0.12,1,300,0.0005770999996457249,0.002993600006448105,24,True,8.76038287050962e-10,5.348764486878821e-11,0.9999999999999999
50,0.12,2,260,0.0005709000106435269,0.0018137999868486077,27,True,1.5617644087695393e-09,1.3243263777273917e-10,0.9999999999999999
50,0.12,3,291,0.0004964999970979989,0.001716600003419444,24,True,1.573895873005493e-09,8.684831673266835e-11,0.9999999999999999
100,0.06,1,566,0.0014633999962825328,0.006110500020440668,26,True,3.105658909728637e-09,1.347960874864551e-10,0.9999999999999999
100,0.06,2,594,0.0009170999983325601,0.0047759999870322645,24,True,1.8653956348341216e-09,8.2942916423967e-11,0.9999999999999999
100,0.06,3,601,0.0007876000017859042,0.0034656999923754483,22,True,1.8954620806949096e-09,6.98293419615359e-11,0.9999999999999999
200,0.03,1,1156,0.0016454999858979136,0.00445959999342449,24,True,8.01675767913776e-09,1.9402045248195776e-10,1.0
200,0.03,2,1209,0.0013500000059138983,0.0037115000013727695,23,True,7.1852266459804595e-09,2.663118753298832e-10,1.0
200,0.03,3,1181,0.0018207999819424003,0.0035897000052500516,24,True,6.538249250169492e-09,2.2763546082826824e-10,1.0
400,0.015,1,2368,0.0038951000024098903,0.008663899992825463,24,True,9.293013730933553e-09,1.301877963072462e-10,0.9999999999999999
400,0.015,2,2348,0.0040246999997179955,0.006571999983862042,24,True,9.073304064837178e-09,1.0801401092996876e-10,1.0
400,0.015,3,2343,0.006034099991666153,0.005532100010896102,27,True,1.696465805751642e-08,1.0392447640297786e-09,1.0
